method,dataset,IF,epoch_budget,run_name,status,best_epoch,val,many,medium,few,prototypes,role
CE,CIFAR-100-LT,100,200,ce_e200,ok,172,38.91,66.97,38.94,11.65,N/A,baseline
Balanced Softmax,CIFAR-100-LT,100,200,balanced_softmax_if100_e200,ok,183,44.53,62.18,42.94,28.94,N/A,strong_baseline
LDAM-DRW,CIFAR-100-LT,100,200,ldam_drw_if100_e200_s1,ok,160,41.63,65.85,43.09,16.71,N/A,strong_baseline
Fixed K4,CIFAR-100-LT,100,200,fixed_k4_t01_tau025_e200,ok,174,39.83,67.64,40.94,11.76,400,prototype_baseline
Sqrt B200,CIFAR-100-LT,100,200,adaptive_sqrt_budget200_e200,ok,195,39.36,68.42,40.24,10.29,200,main_method
Sqrt B200 + LDAM,CIFAR-100-LT,100,200,adaptive_sqrt_budget200_if100_e200_ldam_s1,ok,142,41.66,59.03,44.97,21.59,200,compatibility
CE,CIFAR-100-LT,50,200,ce_if50_e200,missing,,,,,,N/A,baseline
Balanced Softmax,CIFAR-100-LT,50,200,balanced_softmax_if50_e200,ok,193,49.25,64.85,47.18,36.12,N/A,strong_baseline
LDAM-DRW,CIFAR-100-LT,50,200,ldam_drw_if50_e200_s1,ok,182,46.03,67.88,47.24,23.65,N/A,strong_baseline
Fixed K3,CIFAR-100-LT,50,200,fixed_k3_if50_e200,ok,184,43.91,68.52,45.24,18.74,300,prototype_baseline
Fixed K4,CIFAR-100-LT,50,200,fixed_k4_if50_e200,ok,189,43.58,68.58,45.06,17.88,400,prototype_baseline
Sqrt B300,CIFAR-100-LT,50,200,adaptive_sqrt_budget300_if50_e200,ok,184,44.24,70.03,46.30,17.21,300,main_method
Sqrt B300 + LDAM,CIFAR-100-LT,50,200,adaptive_sqrt_budget300_if50_e200_ldam_s1,ok,167,46.21,66.55,47.85,24.88,300,compatibility
