"method","IF","seed","budget","run_name","status","prototypes","k_distribution","best_epoch","val","many","medium","few"
"CE","100","1","N/A","ce_e50","ok","N/A","N/A","50","33.76","62.57575757575758","32.60606060606061","6.911764705882353"
"Fixed K3","100","1","300","fixed_k3_t01_tau025_e50","ok","300","K=3:100","50","32.13","62.39393939393939","30.21212121212121","4.617647058823529"
"Sqrt B300","100","1","300","adaptive_sqrt_budget300_e50","ok","300","K=1:4 K=2:44 K=3:22 K=4:14 K=5:10 K=6:6","50","32.63","62.63636363636363","30.939393939393938","5.147058823529412"
"Linear B300","100","1","300","adaptive_linear_budget300_e50","ok","300","K=1:33 K=2:26 K=3:11 K=4:7 K=5:6 K=6:4 K=7:4 K=8:9","47","33.03","63.03030303030303","31.666666666666668","5.235294117647059"
"CE","50","1","N/A","ce_if50_e50","ok","N/A","N/A","49","37.6","62.54545454545455","37.78787878787879","13.205882352941176"
"Fixed K3","50","1","300","fixed_k3_if50_e50","ok","300","K=3:100","49","36.28","63.666666666666664","36.484848484848484","9.5"
"Sqrt B300","50","1","300","adaptive_sqrt_budget300_if50_e50","ok","300","K=2:44 K=3:26 K=4:17 K=5:12 K=6:1","47","38.94","66.45454545454545","40.36363636363637","10.852941176470589"
"Linear B300","50","1","300","adaptive_linear_budget300_if50_e50","ok","300","K=1:27 K=2:29 K=3:14 K=4:8 K=5:7 K=6:5 K=7:4 K=8:6","47","36.02","62.57575757575758","36.96969696969697","9.323529411764707"
"CE","10","1","N/A","ce_if10_e50","ok","N/A","N/A","49","53.7","67.96969696969697","55.333333333333336","38.26470588235294"
"Fixed K3","10","1","300","fixed_k3_if10_e50","ok","300","K=3:100","49","51.94","67.93939393939394","53.24242424242424","35.14705882352941"
"Sqrt B300","10","1","300","adaptive_sqrt_budget300_if10_e50","ok","300","K=2:28 K=3:44 K=4:28","47","51.7","68.3030303030303","53.36363636363637","33.970588235294116"
"Linear B300","10","1","300","adaptive_linear_budget300_if10_e50","ok","300","K=1:4 K=2:44 K=3:22 K=4:14 K=5:10 K=6:6","48","51.66","68.72727272727273","52.75757575757576","34.029411764705884"
